Julianna,Zając,ul. Snopowa ,6,Łódź,94-238,1976,5,4,75,A+,70.2,157
Cecylia,Dudek,ul. Lotnicza ,43,Lublin,20-354,1962,1,10,4,O+,18.5,110
Izabella,Adamczyk,ul. Kajakowa ,121,Olsztyn,10-189,2009,5,11,43,B+,83.0,171
Oliwia,Kucharska,ul. Częstochowska ,91,Wrocław,54-031,2005,10,8,73,B+,63.9,162
Czesław,Olszewski,ul. Północna ,44,Lublin,20-818,1974,26,10,37,O+,115.9,178
Benedykta,Adamczyk,ul. Malborska ,130,Poznań,60-453,1967,24,8,77,O+,51.3,167
Fryderyk,Dudek,ul. Świętego Mikołaja ,48,Szczecin,71-799,1931,3,6,3,O+,13.7,99
Dyta,Jaworska,ul. Suwalska ,85,Zielona Góra,65-548,1977,23,9,81,O+,94.7,163
Dominika,Jabłońska,ul. Generała Kukiela Mariana ,71,Kraków,31-358,1979,3,4,41,O+,88.5,170
Franciszek,Tomaszewski,ul. Katowicka ,37,Mysłowice,41-406,1967,24,3,41,O+,106.2,178
Lucjusz,Król,ul. Osikowa ,144,Warszawa,01-928,1982,18,9,16,O+,51.9,182
Bogumił,Jasiński,ul. Lelewela Joachima ,62,Bytom,41-909,2008,22,9,83,A+,91.5,173
Lidia,Pawlak,ul. Rzeszowska ,87,Białystok,15-549,1967,19,9,18,A+,74.6,160
Małgorzata,Kucharska,ul. Rzgowska ,44,Łódź,93-316,2004,18,5,49,O+,73.7,174
Konstancja,Rutkowska,ul. Tatrzańska ,71,Łódź,93-279,1996,26,2,10,O+,24.4,127
Stefcia,Walczak,ul. Gagarina Jurija ,105,Gliwice,44-121,1977,10,10,48,AB+,79.9,165
Apolonia,Jaworska,ul. Notecka ,49,Bydgoszcz,85-373,1942,14,9,18,A+,80.6,174
Asia,Wysocka,ul. Sandomierska ,109,Lublin,20-726,1983,2,1,58,A+,75.7,165
Gerwazy,Nowak ,ul. Sasankowa ,30,Lublin,20-537,1971,2,8,41,O+,68.8,188
Benedykta,Kamińska,ul. Jasna ,85,Otwock,05-402,1946,25,4,55,A+,94.5,156
Joasia,Walczak,ul. Letnia ,113,Warszawa/Wesoła,05-075,1943,17,6,8,A+,36.1,122
Julianna,Czerwinska,ul. Sławkowska ,95,Warszawa,02-979,1934,12,6,12,O+,46.1,138
Eliasz,Wojciechowski,ul. Ruska ,12,Lublin,20-126,1977,15,5,43,O+,87.0,179
Walerian,Tomaszewski,ul. Świętego Stanisława Kostki ,43,Szczecin,71-143,1999,27,1,50,O+,98.7,178
Roman,Ostrowski,ul. Zyndrama z Maszkowic ,32,Olsztyn,10-133,2016,4,12,85,O+,63.4,165
Piotr,Jabłoński,ul. Pustelnia ,98,Kraków,30-380,1936,28,11,39,O+,92.3,169
Kaja,Ostrowska,ul. Wrocławska ,149,Kielce,25-327,1950,20,7,38,O-,78.1,157
Bogusława,Pawłowska,ul. Sportowa ,149,Koszalin,75-503,1941,25,11,49,B+,90.1,157
Ludmita,Pawlak,ul. Staszica ,50,Bolesławiec,59-701,2001,4,6,35,B+,54.8,163
Kinga,Pawłowska,ul. Kolska ,66,Szczecin,71-736,1934,2,10,8,A-,38.9,136
Maciej,Kwiatkowski,ul. Roślinna ,7,Lublin,20-516,1958,22,12,49,O+,110.9,167
Agnieszka,Wysocka,ul. Świętej Weroniki ,17,Kielce,25-658,1962,1,2,13,O+,57.5,170
Rościsław,Jabłoński,Pl. Indyjski ,7,Wrocław,52-123,2001,9,7,21,O+,99.6,178
Edyta,Kucharska,ul. Żeglarska ,56,Łódź,91-321,1962,27,5,40,B+,60.7,158
Stanisława,Michalska,ul. Partyzantów ,99,Leoncin,05-155,1968,13,12,74,O-,77.0,163
Ludmiła,Kamińska,ul. Ebro ,37,Warszawa,01-490,1938,5,4,34,O+,48.6,173
